t,S,I,R,C,integer_day,time_diff,S2I_transitions
85.99931935631184,80964,5077,13959,18936,86,6.80643688156124e-4,900
86.99977507290454,80078,5212,14710,19822,87,2.2492709545929301e-4,886
87.99943574570389,79200,5312,15488,20700,88,5.642542961084018e-4,878
88.99991508786455,78297,5441,16262,21603,89,8.491213544914444e-5,903
89.99834555473352,77336,5598,17066,22564,90,0.00165444526648173,961
90.99981817142536,76453,5647,17900,23447,91,1.8182857463955315e-4,883
91.9991632715366,75528,5791,18681,24372,92,8.367284633976624e-4,925
92.99958728334619,74620,5899,19481,25280,93,4.127166538125948e-4,908
93.9995586248993,73705,5939,20356,26195,94,4.413751007064093e-4,915
94.99996816015745,72776,6002,21222,27124,95,3.1839842549175046e-5,929
95.99954684069262,71783,6111,22106,28117,96,4.531593073835438e-4,993
96.99999564591802,70870,6179,22951,29030,97,4.354081980295632e-6,913
97.99895575683752,69949,6196,23855,29951,98,0.0010442431624824167,921
98.997671666897,69042,6221,24737,30858,99,0.0023283331029944065,907
99.9997377786522,68086,6256,25658,31814,100,2.622213477962987e-4,956
100.99974952334786,67187,6262,26551,32713,101,2.5047665214117387e-4,899
101.99949694831484,66334,6179,27487,33566,102,5.030516851576294e-4,853
102.99967712014185,65446,6194,28360,34454,103,3.2287985814605236e-4,888
103.99866016650333,64580,6199,29221,35320,104,0.0013398334966723269,866
104.99941377333904,63691,6220,30089,36209,105,5.862266609568678e-4,889
105.99901516466188,62844,6220,30936,37056,106,9.848353381158859e-4,847
106.99966863736867,62045,6163,31792,37855,107,3.313626313286022e-4,799
107.99927427026253,61258,6070,32672,38642,108,7.257297374678728e-4,787
108.99974895064804,60469,5979,33552,39431,109,2.5104935195940925e-4,789
109.99976683960357,59670,5921,34409,40230,110,2.331603964336182e-4,799
110.99885473531855,58913,5836,35251,40987,111,0.0011452646814547052,757
111.99989037648375,58138,5759,36103,41762,112,1.0962351625209976e-4,775
112.99940921832705,57413,5715,36872,42487,113,5.907816729546767e-4,725
113.99995516852327,56725,5599,37676,43175,114,4.483147672829091e-5,688
114.99957451148448,56054,5477,38469,43846,115,4.254885155177135e-4,671
115.9998987270871,55391,5339,39270,44509,116,1.0127291290018547e-4,663
116.99991573360286,54773,5195,40032,45127,117,8.426639713832174e-5,618
117.99893203001172,54181,5051,40768,45719,118,0.0010679699882842897,592
118.99884110541899,53586,4903,41511,46314,119,0.0011588945810103723,595
119.99807788092974,53025,4794,42181,46875,120,0.001922119070258077,561
